Planet,Reference,Status,Geometry,Obs,C/O,C/O Lower,C/O Upper,Metallicity,Metallicity Lower,Metallicity Upper,Metallicity Type,Metallicity Solar,log10 R/V,R/V Lower,R/V Upper,R/V Type,Retrieval Type,Notes,Mass,Mass Lower,Mass Upper,T_eq,T_eq Lower,T_eq Upper,Stellar Metallicity,Stellar Metallicity Lower,Stellar Metallicity Upper,Stellar Mass,Stellar Mass Lower,Stellar Mass Upper
WASP-39 b,Welbanks et al. 2025,In Prep,Transit,NIRISS/SOSS+NIRSpec/PRISM+NIRCAM/F322W2+NIRCam/F444W+NIRSpec/G395H,0.25,0.2,0.25,1.05,0.2,0.2,(O+C)/H,Solar,,,,,Custom,Estimated from Wiser et al. Fig. 6,0.28,0.03,0.03,1150,14,14,0.01,0.09,0.09,0.93,0.03,0.03
WASP-96 b,Wang et al. 2025,In Prep,Transit,NIRISS/SOSS+VLT/FORS2+WFC3/G141,0.57,0.12,0.07,0.01,0.52,0.46,C/H,Solar,1.48,0.62,0.57,(Na+K+S/O),pRT,,0.48,0.03,0.03,1286,40,40,0.14,0.19,0.19,1.06,0.09,0.09
WASP-94A b,Mukherjee et al. 2025,Submitted,Transit,NIRISS/SOSS,0.34,0.2,0.2,0.31,0.32,0.32,(O+C)/H,Solar,,,,,PICASO,WASP-94Ab: Accounts for limb asymmetry- otherwise biased! Also see Ahrer et al. 2025,0.5,0.13,0.13,1543,0,0,0.22,0.1,0.1,1.14,0.11,0.19
WASP-178 b,Lothringer et al. 2025,Published,Transit,WFC3/G280+WFC3/G102+WFC3/G141+NIRSpec/G395H,0.01,0.01,0.01,1.47,1.1,0.28,O/H,Stellar,-1.56,0.3,0.97,Si/O,pRT,uses arguments to say stellar abundance is approx. solar,1.66,0.12,0.12,2469,60,60,0.21,0.16,0.16,2.07,0.11,0.11
HD 189733 b,Fu et al. 2024,Published,Transit,NIRCAM/F322W2+NIRCam/F444W,0.2,0.2,0,0.6020599913,0.1249387366,0.09691001301,(O+C)/H,Solar,,,,,CHIMERA,,1.13,0.08,0.08,1193,11,11,0.02,0,0,0.79,0.08,0.08
HD 209458 b,Xue et al. 2024,Published,Transit,NIRCAM/F322W2+NIRCam/F444W,0.08,0.05,0.09,0.4771212547,0.1760912591,0.3679767853,C/H,Solar,,,,,PLATON,,0.73,0.04,0.04,1469,12,12,0.01,0,0,1.23,0.09,0.09
HD 149026 b,Bean et al. 2023,Published,Eclipse,NIRCAM/F322W2+NIRCam/F444W,0.84,0.03,0.03,2.09,0.35,0.32,O/H,Solar,,,,,PLATON,,0.38,0.06,0.06,1694,37,69,0.32,0,0,1.42,0.33,0.33
HD 149026 b,Gagnebin et al. 2024,Published,Eclipse,NIRCAM/F322W2+NIRCam/F444W,0.67,0.27,0.06,1.146128036,0.2688453123,0.3679767853,O/H,Solar,,,,,PICASO,PICASO used to make a grid- not directly in a retrieval.,0.38,0.06,0.06,1694,37,69,0.32,0,0,1.42,0.33,0.33
WASP-18 b,Coulombe et al. 2023,Published,Eclipse,NIRISS/SOSS,0.6,0.6,0,0.01283722471,0.3175765486,0.2968338811,O/H,Solar,,,,,SCARLET,,10.2,0.35,0.35,2504,70,77,0.107,0.08,0.08,1.29,0.06,0.06
WASP-18 b,Brogi et al. 2023,Published,Eclipse,Gemini/IGRINS,0.34,0.34,0,0.48,0.29,0.33,O/H,Solar,,,,,CHIMERA,,10.2,0.35,0.35,2504,70,77,0.107,0.08,0.08,1.29,0.06,0.06
