Target,Planet Name,TSM,ESM (5um),Mass (M_J),Mass (M_E),Radius (R_J),Radius (R_E),T_eq,Star SpT,Star Vmag,Event,Mode,Status,Category,Program,PI Name
L168-9,L 168-9 b,0.077,0.014,0.01281,4.07,0.145,1.63,998.0,M0.5 V,11.005,Transit,MIRI.LRS,Archived,COM,1033,Kendrew
HAT-P-14,HAT-P-14 b,0.029,0.148,3.44,1093.3352,1.42,15.917,1624.0,F5 V,9.988,Transit,NIRSPEC.BOTS+G395H,Archived,COM,1118,Proffitt
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Transit,MIRI.LRS,Archived,GTO,1177,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Eclipse,MIRI.LRS,Archived,GTO,1177,Greene
WASP-69,WASP-69 b,0.788,0.33,0.29,92.1707,1.11,12.442,963.0,K5,9.873,Eclipse,MIRI.LRS,Archived,GTO,1177,Greene
GJ-436,GJ 436 b,0.386,0.079,0.07,22.1,0.372,4.17,686.0,M2.5 V,10.67,Eclipse,MIRI.LRS,Archived,GTO,1177,Greene
GJ-436,GJ 436 b,0.386,0.079,0.07,22.1,0.372,4.17,686.0,M2.5 V,10.67,Eclipse,MIRI.LRS,Archived,GTO,1177,Greene
HAT-P-26,HAT-P-26 b,0.247,0.043,0.07,22.2481,0.63,7.062,1001.0,K1,11.757,Transit,MIRI.LRS,Archived,GTO,1177,Greene
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GTO,1177,Greene
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GTO,1177,Greene
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GTO,1177,Greene
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GTO,1177,Greene
TRAPPIST-1,TRAPPIST-1 h,0.091,0.0,0.00103,0.326,0.067,0.755,172.0,nan,17.02,Eclipse,MIRI.F1500W,Archived,GTO,1177,Greene
HD-189733,HD 189733 b,0.753,1.457,1.13,359.1479,1.13,12.666,1209.0,K2 V,7.67,Eclipse,NIRCAM.GRISMR+F444W,Archived,GTO,1185,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Transit,NIRCAM.GRISMR+F322W2,Archived,GTO,1185,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Transit,NIRCAM.GRISMR+F444W,Skipped,GTO,1185,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Transit,NIRCAM.GRISMR+F444W,Archived,GTO,1185,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Eclipse,NIRCAM.GRISMR+F322W2,Archived,GTO,1185,Greene
WASP-80,WASP-80 b,0.363,0.267,0.538,170.99254,0.999,11.198,825.0,K7-M0 V,11.841,Eclipse,NIRCAM.GRISMR+F444W,Archived,GTO,1185,Greene
WASP-69,WASP-69 b,0.788,0.33,0.29,92.1707,1.11,12.442,963.0,K5,9.873,Eclipse,NIRCAM.GRISMR+F322W2,Archived,GTO,1185,Greene
WASP-69,WASP-69 b,0.788,0.33,0.29,92.1707,1.11,12.442,963.0,K5,9.873,Eclipse,NIRCAM.GRISMR+F444W,Archived,GTO,1185,Greene
WASP-107,WASP-107 b,1.175,0.118,0.096,30.5,0.94,10.536,736.0,K6,11.592,Transit,NIRCAM.GRISMR+F322W2,Archived,GTO,1185,Greene
WASP-107,WASP-107 b,1.175,0.118,0.096,30.5,0.94,10.536,736.0,K6,11.592,Transit,NIRCAM.GRISMR+F444W,Archived,GTO,1185,Greene
GJ-436,GJ 436 b,0.386,0.079,0.07,22.1,0.372,4.17,686.0,M2.5 V,10.67,Eclipse,NIRCAM.GRISMR+F322W2,Archived,GTO,1185,Greene
